epoch,env_car_attack_head_loss,env_car_attack_head_mae,env_car_decay_head_loss,env_car_decay_head_mae,env_car_release_head_loss,env_car_release_head_mae,env_car_sustain_head_loss,env_car_sustain_head_mae,env_mod_attack_head_loss,env_mod_attack_head_mae,env_mod_decay_head_loss,env_mod_decay_head_mae,env_mod_release_head_loss,env_mod_release_head_mae,env_mod_sustain_head_loss,env_mod_sustain_head_mae,loss,val_env_car_attack_head_loss,val_env_car_attack_head_mae,val_env_car_decay_head_loss,val_env_car_decay_head_mae,val_env_car_release_head_loss,val_env_car_release_head_mae,val_env_car_sustain_head_loss,val_env_car_sustain_head_mae,val_env_mod_attack_head_loss,val_env_mod_attack_head_mae,val_env_mod_decay_head_loss,val_env_mod_decay_head_mae,val_env_mod_release_head_loss,val_env_mod_release_head_mae,val_env_mod_sustain_head_loss,val_env_mod_sustain_head_mae,val_loss,learning_rate
20,0.13347479701042175,0.3967460095882416,0.09761209785938263,0.3150421380996704,0.015553642995655537,0.13538920879364014,0.09496433287858963,0.33242037892341614,0.11779243499040604,0.3715040981769562,0.04259828105568886,0.20963698625564575,0.018032895401120186,0.14325778186321259,0.09339796751737595,0.33542656898498535,0.3798905909061432,0.12572382390499115,0.3691425323486328,0.11535608768463135,0.32077863812446594,0.007230239920318127,0.0870278924703598,0.08981801569461823,0.319318562746048,0.10975457727909088,0.3420008420944214,0.03968475013971329,0.17729058861732483,0.007924898527562618,0.08319104462862015,0.08398199826478958,0.30358511209487915,0.35927873849868774,9.999999747378752e-05
21,0.13074244558811188,0.39063623547554016,0.09030073136091232,0.3036412298679352,0.014579427428543568,0.13155494630336761,0.08807624131441116,0.31820809841156006,0.11594735831022263,0.368203341960907,0.03928988054394722,0.2021011859178543,0.01732797920703888,0.14067044854164124,0.08909323811531067,0.3269932270050049,0.3627644181251526,0.12381048500537872,0.3603828251361847,0.10616336017847061,0.30458778142929077,0.005756762344390154,0.07410228997468948,0.09148840606212616,0.32902300357818604,0.10989416390657425,0.34950366616249084,0.039864808320999146,0.1711101531982422,0.00742856040596962,0.07858365029096603,0.08100078999996185,0.2986071705818176,0.3502659499645233,4.999999873689376e-05
22,0.13018524646759033,0.3903907537460327,0.09001045674085617,0.3008574843406677,0.014280274510383606,0.13001751899719238,0.08781082183122635,0.31836646795272827,0.11367522180080414,0.3633946180343628,0.03863000124692917,0.2003331184387207,0.016773704439401627,0.13815033435821533,0.08780808001756668,0.32442033290863037,0.3589014410972595,0.12171138823032379,0.3579229414463043,0.10245101153850555,0.2940663695335388,0.005825695116072893,0.07469237595796585,0.0905061736702919,0.32442164421081543,0.10638904571533203,0.3388760983943939,0.03858049213886261,0.16646243631839752,0.00732559897005558,0.07754554599523544,0.08070120215415955,0.29721060395240784,0.3426479399204254,4.999999873689376e-05
23,0.12954242527484894,0.3894309997558594,0.08892698585987091,0.29868823289871216,0.01398796122521162,0.12909795343875885,0.08661725372076035,0.3158491849899292,0.11375951021909714,0.36273062229156494,0.0386442169547081,0.19995909929275513,0.016655288636684418,0.13826976716518402,0.08714396506547928,0.3236308991909027,0.35655394196510315,0.1220800057053566,0.3586815595626831,0.10608024150133133,0.3025244474411011,0.0052550253458321095,0.0702139213681221,0.0844867005944252,0.305549293756485,0.10673509538173676,0.33968520164489746,0.03941241279244423,0.16840045154094696,0.007286509964615107,0.07759425044059753,0.07858531922101974,0.29197439551353455,0.34114184975624084,4.999999873689376e-05
24,0.12913869321346283,0.38882315158843994,0.0870562270283699,0.2960423231124878,0.014138196595013142,0.12924261391162872,0.08636733144521713,0.31569382548332214,0.11225643754005432,0.36074963212013245,0.037915922701358795,0.19925753772258759,0.0165846087038517,0.13783399760723114,0.08605163544416428,0.32209357619285583,0.3529391288757324,0.12367242574691772,0.3584609031677246,0.10493135452270508,0.29578107595443726,0.005260422360152006,0.0690285935997963,0.0845465138554573,0.3085576295852661,0.10595700889825821,0.3362858295440674,0.03836565837264061,0.16468875110149384,0.007446319796144962,0.07916080951690674,0.08007355034351349,0.29557135701179504,0.3412027657032013,4.999999873689376e-05
25,0.12863050401210785,0.38817933201789856,0.08742821216583252,0.2967936396598816,0.01405187975615263,0.12859275937080383,0.08550073206424713,0.31279152631759644,0.11220258474349976,0.3605228364467621,0.0373588502407074,0.19678427278995514,0.016575859859585762,0.13708367943763733,0.08501741290092468,0.31884804368019104,0.35134685039520264,0.12314265221357346,0.3615274727344513,0.10663723945617676,0.3051333725452423,0.005099079106003046,0.06885220855474472,0.0840367004275322,0.3059227764606476,0.10772513598203659,0.34153348207473755,0.03900068625807762,0.16932028532028198,0.007507659494876862,0.07939031720161438,0.08806347846984863,0.3101353049278259,0.3475781977176666,4.999999873689376e-05
26,0.12726986408233643,0.38529881834983826,0.08286694437265396,0.2892318665981293,0.013773228041827679,0.12755681574344635,0.0832429975271225,0.3088030219078064,0.10994948446750641,0.3563501238822937,0.03590045124292374,0.1939643770456314,0.01594618707895279,0.1350308507680893,0.0839228630065918,0.3166676461696625,0.3426506817340851,0.12069233506917953,0.35474157333374023,0.10274720191955566,0.2934373915195465,0.0049986629746854305,0.06685078144073486,0.08147110790014267,0.29844048619270325,0.10376059263944626,0.33309075236320496,0.03887159377336502,0.16611932218074799,0.006926500238478184,0.07503188401460648,0.08459631353616714,0.30261221528053284,0.33703532814979553,2.499999936844688e-05
27,0.1265912652015686,0.38352277874946594,0.08151568472385406,0.2852652370929718,0.013589109294116497,0.12648212909698486,0.08251408487558365,0.3075283169746399,0.1101982370018959,0.3566933274269104,0.03601657971739769,0.19384387135505676,0.016071336343884468,0.13493815064430237,0.0828118622303009,0.31557464599609375,0.34051796793937683,0.12093786895275116,0.3558807373046875,0.10763341933488846,0.30473607778549194,0.004998515360057354,0.06678633391857147,0.08238788694143295,0.29981914162635803,0.10435951501131058,0.3323884904384613,0.037847936153411865,0.16582348942756653,0.006946745328605175,0.07422201335430145,0.07670467346906662,0.2880290150642395,0.3362713158130646,2.499999936844688e-05
28,0.12640148401260376,0.38319990038871765,0.0815763771533966,0.28610342741012573,0.013606901280581951,0.1264454573392868,0.08107341080904007,0.30515676736831665,0.1102728471159935,0.3563562333583832,0.03586546704173088,0.19335390627384186,0.01579648070037365,0.13380709290504456,0.08319146186113358,0.3147698938846588,0.3396335542201996,0.12126248329877853,0.3570922911167145,0.1038457527756691,0.2925988435745239,0.004913120996206999,0.06650518625974655,0.08275698870420456,0.30120471119880676,0.10452066361904144,0.33534374833106995,0.036722734570503235,0.16542363166809082,0.006834280677139759,0.07396084815263748,0.08159642666578293,0.298206090927124,0.3361589014530182,2.499999936844688e-05
29,0.1270211935043335,0.3841909170150757,0.08082611113786697,0.28497523069381714,0.0134500190615654,0.1261128932237625,0.08150839805603027,0.3052842617034912,0.10994686186313629,0.355265349149704,0.03504297882318497,0.1915266215801239,0.0160476416349411,0.13484947383403778,0.08215408772230148,0.31340572237968445,0.3385326862335205,0.12092314660549164,0.35454630851745605,0.10425227880477905,0.29677265882492065,0.004925793502479792,0.0664929747581482,0.08458442986011505,0.3055013418197632,0.10518144816160202,0.3351404070854187,0.03783123195171356,0.16589710116386414,0.007002073340117931,0.0745253935456276,0.07846793532371521,0.29129427671432495,0.33675432205200195,2.499999936844688e-05
